sampleID,forwardReads,reverseReads
OH_CB_RH_1,./reads/1_ST_S220_L001_R1_001.fastq.gz,./reads/1_ST_S220_L001_R2_001.fastq.gz
OH_EP_RH_1,./reads/2_ST_S221_L001_R1_001.fastq.gz,./reads/2_ST_S221_L001_R2_001.fastq.gz
OH_RR_LG_1,./reads/3_ST_S222_L001_R1_001.fastq.gz,./reads/3_ST_S222_L001_R2_001.fastq.gz
OH_HR_LG_1,./reads/4_ST_S223_L001_R1_001.fastq.gz,./reads/4_ST_S223_L001_R2_001.fastq.gz
OH_TM_LG_1,./reads/5_ST_S224_L001_R1_001.fastq.gz,./reads/5_ST_S224_L001_R2_001.fastq.gz
OH_MS_LG_1,./reads/6_ST_S225_L001_R1_001.fastq.gz,./reads/6_ST_S225_L001_R2_001.fastq.gz
NH_BP_RC_1,./reads/13_ST_S226_L001_R1_001.fastq.gz,./reads/13_ST_S226_L001_R2_001.fastq.gz
NH_BP_RC_2,./reads/14_ST_S227_L001_R1_001.fastq.gz,./reads/14_ST_S227_L001_R2_001.fastq.gz
NH_BP_RC_4,./reads/15_ST_S228_L001_R1_001.fastq.gz,./reads/15_ST_S228_L001_R2_001.fastq.gz
NH_BP_RC_5,./reads/16_ST_S229_L001_R1_001.fastq.gz,./reads/16_ST_S229_L001_R2_001.fastq.gz
NH_PR_RC_1,./reads/17_ST_S230_L001_R1_001.fastq.gz,./reads/17_ST_S230_L001_R2_001.fastq.gz
NH_PR_RC_2,./reads/18_ST_S231_L001_R1_001.fastq.gz,./reads/18_ST_S231_L001_R2_001.fastq.gz
NH_PR_RC_3,./reads/19_ST_S232_L001_R1_001.fastq.gz,./reads/19_ST_S232_L001_R2_001.fastq.gz
NH_PR_RC_4,./reads/20_ST_S233_L001_R1_001.fastq.gz,./reads/20_ST_S233_L001_R2_001.fastq.gz
NH_WL_RC_1,./reads/21_ST_S234_L001_R1_001.fastq.gz,./reads/21_ST_S234_L001_R2_001.fastq.gz
NH_WL_RC_3,./reads/23_ST_S235_L001_R1_001.fastq.gz,./reads/23_ST_S235_L001_R2_001.fastq.gz
NH_WL_RC_4,./reads/24_ST_S236_L001_R1_001.fastq.gz,./reads/24_ST_S236_L001_R2_001.fastq.gz
NH_WL_RC_6,./reads/26_ST_S237_L001_R1_001.fastq.gz,./reads/26_ST_S237_L001_R2_001.fastq.gz
NH_WL_RC_7,./reads/27_ST_S238_L001_R1_001.fastq.gz,./reads/27_ST_S238_L001_R2_001.fastq.gz
NH_BB_RC_2,./reads/28_ST_S239_L001_R1_001.fastq.gz,./reads/28_ST_S239_L001_R2_001.fastq.gz
NH_BB_RC_3,./reads/29_ST_S240_L001_R1_001.fastq.gz,./reads/29_ST_S240_L001_R2_001.fastq.gz
NH_BB_RC_4,./reads/30_ST_S241_L001_R1_001.fastq.gz,./reads/30_ST_S241_L001_R2_001.fastq.gz
NH_BB_RC_5,./reads/31_ST_S242_L001_R1_001.fastq.gz,./reads/31_ST_S242_L001_R2_001.fastq.gz
NH_BB_RC_6,./reads/32_ST_S243_L001_R1_001.fastq.gz,./reads/32_ST_S243_L001_R2_001.fastq.gz
NH_MN_RC_1,./reads/34_ST_S244_L001_R1_001.fastq.gz,./reads/34_ST_S244_L001_R2_001.fastq.gz
NH_MN_RC_2,./reads/35_ST_S245_L001_R1_001.fastq.gz,./reads/35_ST_S245_L001_R2_001.fastq.gz
NH_MN_RC_3,./reads/36_ST_S246_L001_R1_001.fastq.gz,./reads/36_ST_S246_L001_R2_001.fastq.gz
NH_MN_RC_4,./reads/37_ST_S247_L001_R1_001.fastq.gz,./reads/37_ST_S247_L001_R2_001.fastq.gz
NH_MN_RC_7,./reads/38_ST_S248_L001_R1_001.fastq.gz,./reads/38_ST_S248_L001_R2_001.fastq.gz
NH_GF_RC_1,./reads/39_ST_S249_L001_R1_001.fastq.gz,./reads/39_ST_S249_L001_R2_001.fastq.gz
NH_GF_RC_2,./reads/40_ST_S250_L001_R1_001.fastq.gz,./reads/40_ST_S250_L001_R2_001.fastq.gz
NH_GF_RC_4,./reads/41_ST_S251_L001_R1_001.fastq.gz,./reads/41_ST_S251_L001_R2_001.fastq.gz
NH_GF_RC_5,./reads/42_ST_S252_L001_R1_001.fastq.gz,./reads/42_ST_S252_L001_R2_001.fastq.gz
NH_GF_RC_6,./reads/43_ST_S253_L001_R1_001.fastq.gz,./reads/43_ST_S253_L001_R2_001.fastq.gz
